source,title,releaseDate,link,wistiaTitles,patreonTitles,runtime,availability
patreon,TMCPI pt.16 - Psychology of a Cop Killer.mp4,2019-11-29,https://jimmyc.wistia.com/medias/f5483bd7e41821d015687b84a86c8b4ace0beb1aadb19a6f652c82351af06118,"[""TMCPI pt.16 - Psychology of a Cop Killer.mp4""]","[""Police Interrogations - 7""]",00:55:41,Available
patreon,Psychology of The 6th Floor,2019-12-30,https://jimmyc.wistia.com/medias/4ee15115abe7995e59d0652394ad57fc04b00b776c222bd585bec7bb9ec760d3,"[""Psychology of The 6th Floor""]","[""Psychology of The 6th Floor #Viewer Discretion Advised#""]",01:00:08,Available
patreon,"Chris Coleman, Levi Belfield, Brian David Mitchel.mp4",2020-01-30,https://jimmyc.wistia.com/medias/977fc0290bea23bb82cc3018dfa929a37fff35b86901a3c3b7c67c9e2c86be84,"[""Chris Coleman, Levi Belfield, Brian David Mitchel.mp4""]","[""Chris Coleman, Levi Belfield, Brian David Mitchel""]",00:29:27,Available
patreon,The Interrogations of Mr. Mathews and Miss Hoare,2020-01-30,https://jimmyc.wistia.com/medias/4943aba1046f735ae917431afffed53b53dc543f88841ddd74801216a0d75d88,"[""The Interrogations of Mr. Mathews and Miss Hoare""]","[""The Interrogations of Mr. Mathews and Miss Hoare""]",00:53:51,Available
patreon,Police Interrogation Analysis - 8 - 1,2020-01-30,https://jimmyc.wistia.com/medias/057126668b950610a9bef071bd74c933b5e048397813adf24f47387bf55ad174,"[""Police Interrogation Analysis - 8 - 1""]","[""Derek Saretzky, Cardinal George Pell, William Sandeson""]",00:50:14,Available
patreon,The Case of Phoenix Sinclair,2020-01-30,https://jimmyc.wistia.com/medias/27de716b9a7681be5440c9791d8f10260153ef9a70edb3b0deb79b47c35a2c9a,"[""The Case of Phoenix Sinclair""]","[""Police Interrogations - 8 #Viewer Discretion Advised#""]",00:38:49,Available
patreon,Police Interrogations pt.17,2020-01-30,,[],[],,Unavailable
patreon,The Case of Karina Vetrano,2020-01-30,https://jimmyc.wistia.com/medias/a1d230d34e4a8fce2544948ac072c6a02e9b6d0cc518349d97bcaa0c4f1f847b,"[""The Case of Karina Vetrano""]","[""The Case of Karina Vetrano""]",00:53:06,Available
patreon,Police Interrogations pt. 7,2020-03-01,https://jimmyc.wistia.com/medias/3d6086125551e4bfb3208dfd5b19fadb08c7e7e2b3bc8409f2c7e9069f555972,"[""Police Interrogations pt. 7""]","[""Police Interrogations - 9"",""The Most Compelling Police Interrogations pt. 7""]",01:03:24,Available
patreon,The Interrogation of Jodi Arias - pt. 2,2020-03-16,https://jimmyc.wistia.com/medias/152010202709620a7f1eb2f1e394c4ad2a951de6bcf9edc180c2d255eb31c19f,"[""The Interrogation of Jodi Arias - pt. 2""]",[],01:09:40,Available
patreon,"Derek Medina, Special Operations Group, Jerome Ersland",2020-03-24,https://jimmyc.wistia.com/medias/5a50838560b4ec8567f9925151b3b37773c4651e42625f7a8d7c01fc6b465188,"[""Derek Medina, Special Operations Group, Jerome Ersland""]",[],00:37:02,Available
patreon,The Most Compelling Police Interrogations pt. 9,2020-03-24,https://jimmyc.wistia.com/medias/4757e0b7a2f1062a756387e15e127b68e87b983db262c5bc192f9d3fec58e8c1,"[""The Most Compelling Police Interrogations pt. 9""]",[],01:21:36,Available
patreon,"Michael Dixon, Shayna Hubers, Thomas Chan",2020-03-24,https://jimmyc.wistia.com/medias/115531212b53f75e2752e5aae80d84295b655d13bfc554c78aa15fcc679e451a,"[""Michael Dixon, Shayna Hubers, Thomas Chan""]",[],,Available
patreon,The Interrogation of George the 5th,2020-03-24,https://jimmyc.wistia.com/medias/0651d54bee655dba53d5526653dfa48697459c076935dfc4cc9b38c2386feb62,"[""The Interrogation of George the 5th""]",[],,Available
patreon,TMC Police Interrogations pt. 11,2020-03-24,https://jimmyc.wistia.com/medias/3321b39f26cf27ae495649c469d9ac7960598a19963ba973fc8dd9f1d93494e3,"[""TMC Police Interrogations pt. 11""]",[],00:56:53,Available
patreon,The Interrogation of Jodi Arias,2020-03-24,https://jimmyc.wistia.com/medias/d45f67cb461da68b0b0757ec2564778f0b4bee5f64dd289bc53e8eeea9c21193,"[""The Interrogation of Jodi Arias""]",[],00:46:35,Available
patreon,The Case of Grant Amato,2020-03-24,https://jimmyc.wistia.com/medias/de573e5984fbf17c1a77cb78c8a3590406e79f7ea7e1473c4d79630dd6c99d74,"[""The Case of Grant Amato""]",[],,Available
patreon,Police Interrogations,2020-03-24,https://jimmyc.wistia.com/medias/b291afdb421af50778e36a556d7aa276cffcd2b9700601b4e31d4d4d306e154a,"[""Police Interrogations""]",[],00:44:31,Available
patreon,The Insanity Defense,2020-03-24,https://jimmyc.wistia.com/medias/587000d535ed0445673de8da87f4b3b71da3ad68cd2bd54e0d94736da24c5b76,"[""The Insanity Defense""]",[],01:02:06,Available
patreon,The Case of Andy. B,2020-03-31,https://jimmyc.wistia.com/medias/12ba2b6b3d48f297b5d5d7f37a4a5d009867bb699c48c844c5cf2ba144707bb5,"[""The Case of Andy. B""]","[""The Case of Andy B. (extended) #Viewer Discretion Advised#""]",00:58:30,Available
patreon,The Case of Mr. L,2020-04-04,https://jimmyc.wistia.com/medias/3059de305c0229d0a11329c816c25c027397ad56b3459712a0a42d0727e492f0,"[""The Case of Mr. L""]",[],,Available
patreon,The Psychology of Miss. W,2020-05-31,https://jimmyc.wistia.com/medias/4dcee2e7837fd12ba0c105413989286f1e9c787bcbe0b9f37802a69c55ded857,"[""The Psychology of Miss. W""]","[""The Psychology of Miss. W #Viewer Discretion Advised#""]",01:23:47,Available
